GeneId	R1T0	R2T0	R3T0	R1T1	R2T1	R3T1	R1T2	R2T2	R3T2	R1T3	R2T3	R3T3	R1T4	R2T4	R3T4	R1T5	R2T5	R3T5	R1T6	R2T6	R3T6	R1T7	R2T7	R3T7	R1T8	R2T8	R3T8	R1T9	R2T9	R3T9	R1T10	R2T10	R3T10	R1T11	R2T11	R3T11	R1T12	R2T12	R3T12	
GENE1	37	31	28	35	34	36	41	36	39	40	42	44	46	44	44	48	46	45	47	49	47	46	49	45	49	51	50	51	49	49	53	52	53	53	54	52	53	53	56	
GENE2	53	53	49	54	52	55	52	56	45	57	60	57	60	57	59	61	64	62	63	64	64	64	63	67	65	67	65	67	69	68	70	68	68	70	72	71	69	70	71	
GENE3	40	46	45	40	42	44	37	45	40	48	48	48	52	51	52	53	51	55	54	56	57	59	55	55	58	57	58	59	59	60	59	61	60	61	57	58	61	62	64	
GENE4	46	40	47	45	44	45	51	45	50	51	52	49	52	53	52	55	57	55	57	57	56	57	58	60	61	57	59	58	58	62	62	61	61	61	63	64	65	64	64	
GENE5	45	38	35	36	41	39	37	45	43	47	45	46	46	48	48	50	49	50	53	52	53	53	55	53	55	54	53	55	57	55	54	53	58	57	56	57	57	60	59	
GENE6	45	43	44	42	43	45	40	35	36	40	41	37	39	37	39	37	37	37	38	38	33	33	33	36	33	31	36	28	28	37	34	32	31	31	33	29	29	29	31	
GENE7	41	40	41	39	39	37	37	35	35	34	37	33	34	32	32	31	32	32	32	31	31	31	30	30	30	26	31	31	33	30	26	26	29	25	27	24	24	26	28	
GENE8	42	41	44	43	43	43	35	38	38	41	38	39	37	37	39	38	36	35	34	33	35	34	34	33	30	33	36	31	31	30	31	29	26	28	32	26	28	24	29	
GENE9	31	36	34	35	37	38	33	40	24	29	29	31	29	28	27	29	28	27	27	30	28	28	23	26	23	25	24	24	23	25	20	21	23	22	22	21	19	24	20	
GENE10	37	36	36	35	34	32	26	35	30	31	32	33	31	30	29	27	27	28	25	28	27	27	24	28	25	25	25	24	22	16	25	24	22	19	24	20	21	19	21	
GENE11	20	19	17	17	19	19	23	21	21	22	22	23	21	30	21	24	24	24	24	22	25	25	25	26	18	32	20	23	34	21	28	29	28	27	22	36	30	31	34	
GENE12	26	28	22	25	26	28	25	24	27	24	25	28	40	26	27	32	28	29	29	30	31	30	31	27	31	25	31	39	31	33	33	34	34	41	31	37	34	37	36	
GENE13	23	22	22	24	21	23	25	23	23	27	27	24	28	27	24	28	25	23	29	29	26	28	25	29	29	27	23	34	32	26	33	31	32	23	38	41	34	35	37	
GENE14	28	31	31	28	29	29	29	31	30	34	31	33	29	37	35	33	31	36	36	34	35	36	36	36	39	33	41	24	33	38	39	39	39	37	39	30	42	41	42	
GENE15	29	28	27	30	29	28	30	31	31	34	30	31	33	31	28	34	32	35	37	33	34	35	33	32	33	40	37	36	32	36	38	37	36	39	40	37	42	41	40	
GENE16	32	30	33	33	32	30	31	34	30	33	32	30	32	36	31	33	31	32	34	31	32	33	32	31	33	34	31	32	34	33	37	34	35	36	36	35	36	37	42	
GENE17	45	46	46	46	43	44	44	44	44	46	42	44	46	42	42	46	45	44	43	46	44	43	42	43	46	44	45	46	48	46	47	45	46	46	49	46	48	48	51	
GENE18	34	35	32	30	30	34	31	31	34	34	30	31	34	31	30	33	32	33	32	32	31	32	33	32	34	33	33	32	38	36	35	36	34	35	35	36	39	36	37	
GENE19	23	27	28	28	28	28	27	28	30	28	26	28	29	27	29	28	28	26	30	28	29	29	29	28	29	31	29	30	29	32	30	33	31	34	30	31	33	35	33	
GENE20	37	36	40	38	40	37	38	37	35	37	39	37	37	38	39	34	38	38	39	39	36	39	36	37	38	37	38	39	38	41	39	41	40	41	39	41	42	43	40	
GENE21	32	31	33	30	30	31	31	34	30	31	30	31	32	32	30	31	36	28	32	33	32	29	30	32	30	33	32	33	32	35	31	32	34	34	35	37	33	37	38	
GENE22	47	46	46	47	45	47	45	48	45	47	48	46	47	47	46	45	47	47	43	45	46	46	48	45	49	46	48	48	49	47	46	50	52	48	50	50	51	51	52	
GENE23	36	37	36	34	36	38	38	36	37	36	35	33	36	35	36	34	35	39	38	38	37	33	36	35	36	37	35	36	36	37	38	37	41	39	41	37	38	41	42	
GENE24	35	35	36	38	34	38	38	34	38	38	33	37	37	40	38	34	35	36	35	38	36	33	37	35	38	37	38	36	39	40	40	38	39	38	41	40	41	40	40	
GENE25	29	27	27	27	28	29	30	25	29	28	26	28	22	28	27	27	28	23	26	28	28	31	29	27	28	29	29	31	32	31	32	31	27	32	29	33	34	32	32	
GENE26	43	47	45	43	44	44	45	44	43	43	44	42	44	44	48	42	45	43	43	43	44	43	44	44	44	44	44	45	47	49	48	46	48	47	46	45	48	50	46	
GENE27	33	33	32	36	34	33	34	31	35	33	33	34	31	32	34	34	34	34	34	36	32	32	33	31	32	34	33	37	35	34	36	38	36	37	34	35	39	39	40	
GENE28	34	33	32	33	31	31	29	31	32	32	33	34	33	34	30	31	32	34	34	33	31	34	34	31	35	30	34	34	34	34	34	35	38	38	38	33	36	37	38	
GENE29	26	29	29	30	27	28	27	26	26	29	28	29	25	29	27	28	26	25	26	28	27	30	28	30	27	28	27	29	31	30	30	30	28	31	34	32	32	32	32	
GENE30	25	28	26	24	25	27	27	25	25	23	28	27	26	29	28	26	28	27	27	26	27	25	27	27	28	27	24	29	27	26	28	27	28	31	30	31	32	32	32	
GENE31	44	46	45	45	46	43	44	45	47	44	45	49	44	46	44	44	44	43	46	40	47	47	45	46	44	46	48	49	50	47	49	46	49	50	48	52	50	52	48	
GENE32	43	40	38	41	42	42	41	37	40	40	37	41	41	43	39	39	40	41	38	39	41	39	40	41	41	40	43	42	41	40	43	41	44	46	46	43	43	46	45	
GENE33	29	29	29	31	28	30	31	29	30	28	29	29	29	27	26	29	27	29	31	30	31	29	30	30	30	31	30	30	31	30	32	31	33	35	33	32	35	32	36	
GENE34	39	40	38	40	39	39	39	40	40	37	41	41	41	39	39	40	38	37	42	36	40	38	41	37	40	38	40	39	43	43	42	45	45	45	42	45	42	46	42	
GENE35	34	36	33	35	36	33	35	33	34	34	35	34	34	36	35	34	33	34	36	33	36	37	36	34	37	34	35	37	34	36	40	40	38	40	37	40	40	38	42	
GENE36	25	28	29	27	28	26	32	28	27	31	28	27	28	25	27	29	27	29	27	29	27	29	29	26	29	30	30	30	31	32	32	31	29	30	33	32	35	33	33	
GENE37	47	45	47	46	45	45	45	46	47	42	48	42	45	45	48	46	46	45	48	48	45	45	48	46	49	46	48	46	46	46	47	48	47	52	53	49	53	51	53	
GENE38	35	34	33	32	34	34	32	32	35	37	35	35	36	36	33	35	35	37	37	34	34	33	34	36	36	34	33	37	34	35	35	36	35	38	37	38	38	39	39	
GENE39	32	33	35	31	33	35	33	32	34	36	34	35	30	35	32	33	32	36	31	33	35	33	35	33	34	33	36	36	32	35	35	36	38	36	37	37	38	38	37	
GENE40	41	44	40	40	36	41	42	39	38	43	41	41	38	41	41	40	40	41	40	40	42	39	42	42	37	40	45	44	39	43	44	43	42	42	44	46	47	48	45	
GENE41	31	32	33	31	31	33	31	31	34	34	34	32	30	36	34	34	32	32	33	33	34	34	33	33	33	33	32	33	33	33	34	34	36	35	33	38	38	38	37	
GENE42	32	32	31	35	31	32	34	34	32	35	34	33	33	31	30	31	33	34	32	32	35	32	34	34	33	34	34	36	36	35	34	34	35	35	37	37	38	41	40	
GENE43	45	47	47	46	45	45	44	45	44	46	45	47	44	48	44	45	44	45	45	43	45	48	44	46	43	44	46	46	47	47	50	48	49	49	49	50	51	49	49	
GENE44	31	36	31	33	33	29	33	30	31	33	35	30	32	34	32	33	34	31	29	31	30	31	33	29	35	32	35	37	35	35	35	37	35	38	35	36	37	40	36	
GENE45	27	29	29	30	26	27	26	30	28	28	26	29	27	28	30	28	29	28	27	26	28	30	27	28	29	30	29	32	31	31	28	32	30	33	29	33	35	34	33	
GENE46	35	33	39	38	35	37	32	37	36	38	39	35	39	36	38	36	35	34	38	33	37	34	37	36	37	39	38	37	39	37	38	40	38	41	40	42	41	39	41	
GENE47	38	37	39	36	39	36	38	37	40	39	36	38	39	40	37	39	36	36	37	39	35	36	41	39	39	41	39	39	41	40	42	42	39	41	42	41	43	44	42	
GENE48	40	40	38	40	43	39	38	43	39	38	38	40	40	42	42	40	36	41	41	39	41	39	39	40	40	43	41	42	42	42	44	43	44	43	44	45	44	42	45	
GENE49	44	43	41	41	40	44	42	40	41	42	42	43	41	42	42	41	43	45	42	46	41	46	43	43	42	44	42	46	44	43	46	46	42	46	48	46	48	45	46	
GENE50	44	43	45	46	44	44	44	44	47	45	45	43	47	43	43	43	43	46	46	46	47	44	46	45	50	46	46	45	46	49	47	48	48	47	47	49	50	49	50	
GENE51	44	44	46	44	45	47	43	44	45	46	44	45	44	45	42	43	45	46	46	47	45	43	44	45	46	47	47	45	46	47	48	48	52	47	50	52	48	49	51	
GENE52	34	37	36	38	34	33	35	35	35	36	39	35	36	38	38	33	36	37	36	36	37	37	33	36	38	36	37	39	36	39	39	40	38	42	37	41	40	39	40	
GENE53	31	27	30	29	29	29	28	29	28	27	30	29	28	29	28	30	30	30	29	29	28	31	29	28	28	31	29	29	32	31	32	33	31	34	32	34	35	35	34	
GENE54	41	39	40	42	42	42	41	43	38	42	42	40	42	39	40	42	40	44	40	39	42	42	40	41	43	43	40	43	44	42	43	43	44	43	44	44	45	46	50	
