Category	Metric	Value
profiling_metrics	input_genes	1000
profiling_metrics	input_samples	39
profiling_metrics	clustered_genes	476
profiling_metrics	time_series	12
profiling_metrics	execution_time_seconds	0.6238198
profiling_metrics	peak_heap_memory_mb	52.35467529296875
filtered_out_genes	GENE301	SIGNIFICANCE_FILTER
filtered_out_genes	GENE302	SIGNIFICANCE_FILTER
filtered_out_genes	GENE303	SIGNIFICANCE_FILTER
filtered_out_genes	GENE304	SIGNIFICANCE_FILTER
filtered_out_genes	GENE308	SIGNIFICANCE_FILTER
filtered_out_genes	GENE311	SIGNIFICANCE_FILTER
filtered_out_genes	GENE312	SIGNIFICANCE_FILTER
filtered_out_genes	GENE315	SIGNIFICANCE_FILTER
filtered_out_genes	GENE317	SIGNIFICANCE_FILTER
filtered_out_genes	GENE318	SIGNIFICANCE_FILTER
filtered_out_genes	GENE320	SIGNIFICANCE_FILTER
filtered_out_genes	GENE321	SIGNIFICANCE_FILTER
filtered_out_genes	GENE322	SIGNIFICANCE_FILTER
filtered_out_genes	GENE323	SIGNIFICANCE_FILTER
filtered_out_genes	GENE324	SIGNIFICANCE_FILTER
filtered_out_genes	GENE326	SIGNIFICANCE_FILTER
filtered_out_genes	GENE327	SIGNIFICANCE_FILTER
filtered_out_genes	GENE329	SIGNIFICANCE_FILTER
filtered_out_genes	GENE331	SIGNIFICANCE_FILTER
filtered_out_genes	GENE333	SIGNIFICANCE_FILTER
filtered_out_genes	GENE336	SIGNIFICANCE_FILTER
filtered_out_genes	GENE337	SIGNIFICANCE_FILTER
filtered_out_genes	GENE338	SIGNIFICANCE_FILTER
filtered_out_genes	GENE339	SIGNIFICANCE_FILTER
filtered_out_genes	GENE341	SIGNIFICANCE_FILTER
filtered_out_genes	GENE342	SIGNIFICANCE_FILTER
filtered_out_genes	GENE343	SIGNIFICANCE_FILTER
filtered_out_genes	GENE345	SIGNIFICANCE_FILTER
filtered_out_genes	GENE346	SIGNIFICANCE_FILTER
filtered_out_genes	GENE347	SIGNIFICANCE_FILTER
filtered_out_genes	GENE348	SIGNIFICANCE_FILTER
